OBJECTID,GEOID,STATE,COUNTY,TRACT,NAME,Shape__Area,Shape__Length
13079,39035105300,39,035,105300,Census Tract 1053,1150599.49609375,4700.43351550595
13080,39035151800,39,035,151800,Census Tract 1518,1055079.05859375,5107.42736649494
13081,39035152201,39,035,152201,Census Tract 1522.01,1327640.19140625,6461.94020380803
13103,39035154501,39,035,154501,Census Tract 1545.01,3942556.5703125,8960.99359406864
13104,39035141100,39,035,141100,Census Tract 1411,1898800.48828125,8688.5911063836
13107,39035119502,39,035,119502,Census Tract 1195.02,615751.71484375,4606.03863506391
13108,39035119600,39,035,119600,Census Tract 1196,2198786.23046875,6279.68279402085
13109,39035119701,39,035,119701,Census Tract 1197.01,939861.14453125,4402.83268185222
13110,39035120400,39,035,120400,Census Tract 1204,1646769.5859375,5933.04309220554
13111,39035120801,39,035,120801,Census Tract 1208.01,1101278.4375,4746.22064023394
13112,39035121100,39,035,121100,Census Tract 1211,1190369.8671875,4436.40937973571
13113,39035121300,39,035,121300,Census Tract 1213,2369339.453125,6828.22469091008
13114,39035121500,39,035,121500,Census Tract 1215,1566443.77734375,5155.9832811469
13115,39035121900,39,035,121900,Census Tract 1219,1275836.29296875,4777.0550862418
13176,39035112301,39,035,112301,Census Tract 1123.01,1198790.2890625,5059.35049288294
13177,39035154100,39,035,154100,Census Tract 1541,1044269.21875,4305.43899965063
13196,39035101400,39,035,101400,Census Tract 1014,2279250.0234375,6703.94551924553
13197,39035101700,39,035,101700,Census Tract 1017,1255945.25,5623.32143837138
13198,39035102101,39,035,102101,Census Tract 1021.01,1217757.734375,4525.73983858137
13199,39035102102,39,035,102102,Census Tract 1021.02,1466302.8125,5714.64658063334
13200,39035102300,39,035,102300,Census Tract 1023,810279.31640625,4752.08014897155
13201,39035102700,39,035,102700,Census Tract 1027,3549709.0703125,8395.29264032692
13202,39035102800,39,035,102800,Census Tract 1028,804512.921875,3661.62273881003
13212,39035171204,39,035,171204,Census Tract 1712.04,3069962.0390625,7421.18832847233
13213,39035171103,39,035,171103,Census Tract 1711.03,3395850.01953125,9810.1431221648
13214,39035108400,39,035,108400,Census Tract 1084,996284.2890625,4846.69730049613
13215,39035111401,39,035,111401,Census Tract 1114.01,1173932.890625,6503.49804356813
13238,39035102401,39,035,102401,Census Tract 1024.01,923309,4917.52194582617
13239,39035114600,39,035,114600,Census Tract 1146,2446877.828125,7434.82907445099
13240,39035116600,39,035,116600,Census Tract 1166,1570065.8125,5785.46210634279
13250,39035112200,39,035,112200,Census Tract 1122,891725.55859375,5785.22927135188
13327,39035115400,39,035,115400,Census Tract 1154,1254506.19140625,5740.60352681434
13328,39035115700,39,035,115700,Census Tract 1157,1575861.5625,5496.76398306961
13329,39035115800,39,035,115800,Census Tract 1158,2667522.140625,8420.1300629328
13330,39035115900,39,035,115900,Census Tract 1159,2283587.44921875,6937.97836085406
13331,39035116300,39,035,116300,Census Tract 1163,972088.63671875,4006.38790622856
13332,39035116400,39,035,116400,Census Tract 1164,1500528.6328125,5145.04908877705
13333,39035116500,39,035,116500,Census Tract 1165,1443746.96875,5275.24484007426
13334,39035116700,39,035,116700,Census Tract 1167,1907579.12109375,5982.04062956133
13335,39035116900,39,035,116900,Census Tract 1169,1264461.5546875,5077.60218825823
13336,39035117101,39,035,117101,Census Tract 1171.01,1716307.6171875,6680.63164469707
13337,39035117201,39,035,117201,Census Tract 1172.01,1460924.08203125,5287.71168299365
13361,39035117400,39,035,117400,Census Tract 1174,1337674.109375,5336.57450528425
13362,39035117500,39,035,117500,Census Tract 1175,2249333.78125,6604.37595917035
13363,39035117600,39,035,117600,Census Tract 1176,3104422.09765625,9394.74685286131
13364,39035117700,39,035,117700,Census Tract 1177,3381154.0546875,9629.57558556307
13365,39035117800,39,035,117800,Census Tract 1178,4073916.6953125,10505.1338184239
13366,39035118602,39,035,118602,Census Tract 1186.02,795021.078125,4871.45770154327
13445,39035109301,39,035,109301,Census Tract 1093.01,1360905.1953125,5994.6732842826
13446,39035109801,39,035,109801,Census Tract 1098.01,1330442.80078125,4781.01842678866
13447,39035196200,39,035,196200,Census Tract 1962,3616806.6015625,9276.08602983688
13470,39035105400,39,035,105400,Census Tract 1054,1883733.875,7314.21156975733
13471,39035105602,39,035,105602,Census Tract 1056.02,3113029.05859375,8745.05627951624
13472,39035105700,39,035,105700,Census Tract 1057,2907606.51953125,7899.64696852817
13489,39035111700,39,035,111700,Census Tract 1117,709289.18359375,3951.37466835677
13509,39035178204,39,035,178204,Census Tract 1782.04,2830248.3671875,6894.94811246562
14428,39035151500,39,035,151500,Census Tract 1515,1185643.1171875,5253.46610626844
14604,39035119900,39,035,119900,Census Tract 1199,1019166.62890625,4905.7687174185
