OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
69838,39035117800,39,035,117800,,,119,25,4073916.6953125,10505.1338184239
69839,39035118200,39,035,118200,,,43,14.97999954,1128659.671875,4387.71282520564
69840,39035186201,39,035,186201,,,,,10013468.2578125,12639.6038950853
69841,39035186103,39,035,186103,,,,,12233385.5546875,15753.1632497085
69879,39035136105,39,035,136105,,,,,10844230.2773438,13724.4195106903
69880,39035117203,39,035,117203,,,54,10.51000023,975329.91015625,4522.75848301274
69889,39035123602,39,035,123602,,,,,4085249.63671875,11231.3769595443
69890,39035123603,39,035,123603,,,,,2849490.58203125,9941.38531084813
69891,39035123700,39,035,123700,,,11,5.57999992,6214299.83203125,12683.827235819
69892,39035124202,39,035,124202,,,109,28.53000069,1559804.71484375,5876.00289764386
69893,39035124300,39,035,124300,,,36,5.17000008,2607067.9453125,6703.04184787669
69894,39035131103,39,035,131103,,,,,5900043.15625,10957.2914343321
69895,39035135106,39,035,135106,,,,,38419991.375,28249.4568478155
69896,39035136101,39,035,136101,,,,,12694526.3867188,15771.9505328094
69897,39035136103,39,035,136103,,,,,22599156.1757813,21824.3172284022
69928,39035118602,39,035,118602,,,32,3.53999996,795021.078125,4871.45770154327
69930,39035117400,39,035,117400,,,63,16.48999977,1337674.109375,5336.57450528425
69931,39035117500,39,035,117500,,,120,14.22000027,2249333.78125,6604.37595917035
69932,39035117600,39,035,117600,,,76,9.76000023,3104422.09765625,9394.74685286131
69933,39035117700,39,035,117700,,,76,7.17999983,3381154.0546875,9629.57558556307
69983,39035124600,39,035,124600,,,79,10.01000023,5025281.87109375,12019.7297303511
69984,39035126100,39,035,126100,,,139,16.20000076,3172305.07421875,8888.30500297723
69985,39035130104,39,035,130104,,,,,6993753.88671875,12448.0100004854
69987,39035137101,39,035,137101,,,12,1.41999996,9357349.65625,21646.8524480927
69988,39035137103,39,035,137103,,,,,5556046.4765625,10678.9978599869
69989,39035138105,39,035,138105,,,,,7124174.79296875,27494.6090315092
69990,39035192300,39,035,192300,,,,,8352391.74609375,16215.4465120574
70010,39035186104,39,035,186104,,,,,8813344.33984375,14837.2559864301
70011,39035186105,39,035,186105,,,,,6111762.91796875,9819.83506360022
70014,39035186106,39,035,186106,,,,,10231807.3515625,14681.1481649389
70015,39035186107,39,035,186107,,,,,18788772.4882813,17675.8638352637
70016,39035186202,39,035,186202,,,,,6717458.015625,10681.8781240227
70017,39035187103,39,035,187103,,,26,7.05000019,1670521.3828125,6770.08449787793
70018,39035186203,39,035,186203,,,,,14023242.7617188,16234.7773088018
70019,39035186205,39,035,186205,,,,,8423290.53515625,11962.3125469421
70020,39035186206,39,035,186206,,,,,17806333.2617188,20483.2790261871
70063,39035198900,39,035,198900,,,59,10.75,1162084.21875,4958.14818940329
70064,39035197100,39,035,197100,,,,,19156565.0195313,20973.9552044643
70065,39035101201,39,035,101201,,,24,2.03999996,1217673.52734375,5233.90733561582
70066,39035198000,39,035,198000,,,58,10.64000034,3572513.828125,9119.67958709483
70067,39035160603,39,035,160603,,,18,1.70000005,440572.5703125,4096.32030796407
70068,39035197300,39,035,197300,,,33,2.86999989,1620073.99609375,6428.45839052329
70069,39035197500,39,035,197500,,,65,4.98999977,2381739.73046875,7685.41796621922
70078,39035192800,39,035,192800,,,,,4856705.57421875,14351.7975631936
70079,39035192900,39,035,192900,,,,,25623523.1640625,30468.3160785997
70133,39035122100,39,035,122100,,,68,15.42000008,2876753.01171875,7575.30260426078
70153,39035198400,39,035,198400,,,27,2.88000011,4011153.4296875,9223.06932754737
70155,39035198100,39,035,198100,,,61,9.73999977,1178667.4765625,4930.6861989092
70156,39035198700,39,035,198700,,,77,11.34000015,2163470.09375,6874.71195013826
70157,39035161900,39,035,161900,,,,,1656356.86328125,6168.52230516015
70158,39035114800,39,035,114800,,,16,2.1400001,2236145.125,7255.04887998072
70159,39035199200,39,035,199200,,,47,11.60000038,1394647.23046875,6676.60680141652
70160,39035199000,39,035,199000,,,39,12.34000015,1344179.03125,5430.99027387784
70161,39035198800,39,035,198800,,,60,11.17000008,1428838.47265625,5744.91112928898
70162,39035197200,39,035,197200,,,116,15.48999977,4514371.9609375,11172.7976954868
70164,39035981000,39,035,981000,,,,,5942458.9296875,16130.8155584041
70222,39035122200,39,035,122200,,,75,23.95999908,3351833.09765625,9388.24757942113
70223,39035123400,39,035,123400,,,,,4492088.3515625,13795.4222274075
70241,39035199300,39,035,199300,,,62,11.76000023,2290083.04296875,9851.11859313305
70242,39035198500,39,035,198500,,,39,10.71000004,2479833.01953125,7164.53967159824
70243,39035198600,39,035,198600,,,124,7.88999987,3502945.97265625,8948.00194163882
70244,39035198200,39,035,198200,,,112,15.80000019,7018913.77734375,14369.8005189562
70245,39035175108,39,035,175108,,,,,2708511.9921875,7111.88315473344
70246,39035175107,39,035,175107,,,,,10795270.6953125,13881.1776078679
70247,39035131105,39,035,131105,,,,,8100007.48046875,15083.4403854103
70410,39035174103,39,035,174103,,,,,9323867.01171875,18674.5944601018
70411,39035174104,39,035,174104,,,,,3447420.61328125,8484.17790211222
70412,39035174204,39,035,174204,,,,,5926623.0390625,11122.6929012429
70505,39035107701,39,035,107701,,,16,0.5,3759738.80859375,12140.0923511931
70509,39035138108,39,035,138108,,,,,2880588.37890625,7024.90040905691
70512,39035106200,39,035,106200,,,19,2.28999996,1850091.70703125,6857.01012077454
70513,39035106600,39,035,106600,,,28,4.28000021,2794599.4453125,8875.55953847426
70514,39035106900,39,035,106900,,,,,2260649.75390625,6605.61792093154
70588,39035190505,39,035,190505,,,,,13863138.828125,16538.1682093276
70589,39035172104,39,035,172104,,,,,1455839.859375,5610.79918756397
70590,39035198300,39,035,198300,,,86,5.88999987,12681081.8203125,17567.7219444006
70591,39035197000,39,035,197000,,,46,4.96000004,9823919.98046875,15124.0626420126
70595,39035133104,39,035,133104,,,174,14.72999954,7003526.7890625,11018.802798918
70596,39035131104,39,035,131104,,,17,0.94,4402497.12109375,9779.23451759455
70597,39035132100,39,035,132100,,,46,4.0999999,6947596.74609375,11466.0739623093
70598,39035132302,39,035,132302,,,61,10.80000019,3415545.953125,10206.803981863
70599,39035135103,39,035,135103,,,,,6227040.59765625,11943.1458238451
